0.321778,10.0.1.1,10.0.8.3,7000,8080,49,1462,7,3,2,1,64,139138,9,8,0,34,0,0
0.32697,10.0.1.1,10.0.8.3,50001,8080,55,95,7,3,2,1,68,141359,9,221,0,35,0,1
0.334406,10.0.1.1,10.0.8.3,50002,8080,31,102,7,3,2,1,78,144697,13,2606,0,36,0,0
0.340719,10.0.1.1,10.0.8.3,7000,8080,49,1462,7,3,2,1,66,147982,12,11,0,37,0,0
0.346891,10.0.1.1,10.0.8.3,50002,8080,31,102,7,3,2,1,81,152329,9,9,0,37,0,0
0.356258,10.0.1.1,10.0.8.3,7000,8080,49,1462,7,3,2,1,109,156828,10,8,0,37,0,0
0.360129,10.0.1.1,10.0.8.3,50002,8080,31,102,7,3,2,1,36,157281,13,8,0,38,0,0
0.36625,10.0.1.1,10.0.8.3,7000,8080,49,1462,7,3,2,1,34,159862,7,8,0,39,0,0
0.373887,10.0.1.1,10.0.8.3,50002,8080,31,102,7,3,2,1,64,162205,7,9,0,39,0,0
0.380368,10.0.1.1,10.0.8.3,7000,8080,49,1462,7,3,2,1,40,163985,10,8,0,40,0,0
0.387595,10.0.1.1,10.0.8.3,50002,8080,31,102,7,3,2,1,71,168679,7,9,0,40,0,0
0.395128,10.0.1.1,10.0.8.3,7000,8080,49,1462,7,3,2,1,44,170912,9,10,0,41,0,0
0.400187,10.0.1.1,10.0.8.3,50002,8080,31,102,7,3,2,1,32,173145,8,8,0,41,0,0
0.406636,10.0.1.1,10.0.8.3,7000,8080,49,1462,7,3,2,1,31,177087,8,9,0,42,0,0
0.415291,10.0.1.1,10.0.8.3,50002,8080,31,102,7,3,2,1,41,177066,47,19,0,44,0,0
0.419953,10.0.1.1,10.0.8.3,7000,8080,49,1462,7,3,2,1,60,180511,11,583,0,44,0,0
0.427168,10.0.1.1,10.0.8.3,50002,8080,31,102,7,3,2,1,39,182137,7,42,0,44,0,0
0.434152,10.0.1.1,10.0.8.3,7000,8080,49,1462,7,3,2,1,34,185134,8,1425,0,45,0,0
0.440005,10.0.1.1,10.0.8.3,50002,8080,31,102,7,3,2,1,33,185213,7,64,0,46,0,0
0.446193,10.0.1.1,10.0.8.3,7000,8080,49,1462,7,3,2,1,32,189392,13,419,0,47,0,0
0.453966,10.0.1.1,10.0.8.3,50002,8080,31,102,7,3,2,1,35,191111,53,326,0,47,0,0
0.461325,10.0.1.1,10.0.8.3,7000,8080,49,1462,7,3,2,1,66,194524,7,32,0,47,0,0
0.46819,10.0.1.1,10.0.8.3,50002,8080,31,102,7,3,2,1,94,198239,10,911,0,48,0,0
0.475499,10.0.1.1,10.0.8.3,7000,8080,49,1462,7,3,2,1,50,197516,49,30,0,48,0,0
0.480077,10.0.1.1,10.0.8.3,50002,8080,31,102,7,3,2,1,61,200648,9,3154,0,49,0,0
0.486702,10.0.1.1,10.0.8.3,7000,8080,49,1462,7,3,2,1,36,202259,8,28,0,49,0,0
